idx_in_original_df,index,speaker_id,sex,subset,speaker_minutes,name,filepath,length,seconds
92,201,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/496/26-496-0012.flac,269520,16.845
93,202,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/496/26-496-0024.flac,230640,14.415
94,203,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/496/26-496-0011.flac,215440,13.465
95,204,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/496/26-496-0001.flac,206000,12.875
96,205,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/496/26-496-0013.flac,218960,13.685
97,206,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/496/26-496-0020.flac,247440,15.465
98,207,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/496/26-496-0015.flac,125120,7.82
99,208,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/496/26-496-0023.flac,208800,13.05
100,209,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/496/26-496-0008.flac,231601,14.4750625
101,210,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/496/26-496-0003.flac,239360,14.96
102,211,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/496/26-496-0019.flac,251760,15.735
103,212,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/496/26-496-0025.flac,180560,11.285
104,213,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/496/26-496-0002.flac,241920,15.12
105,214,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/496/26-496-0021.flac,229680,14.355
106,215,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/496/26-496-0000.flac,233280,14.58
107,216,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/496/26-496-0010.flac,177360,11.085
108,217,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/496/26-496-0007.flac,188559,11.7849375
109,218,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/496/26-496-0022.flac,240080,15.005
110,219,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/496/26-496-0005.flac,219920,13.745
111,220,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/496/26-496-0004.flac,205360,12.835
112,221,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/496/26-496-0014.flac,88080,5.505
113,222,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/496/26-496-0016.flac,244240,15.265
114,223,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/496/26-496-0017.flac,244960,15.31
96,320,27,M,train-clean-100,20.14,Sean McKinley,LibriSpeech/train-clean-100/27/124992/27-124992-0067.flac,232000,14.5
97,321,27,M,train-clean-100,20.14,Sean McKinley,LibriSpeech/train-clean-100/27/124992/27-124992-0054.flac,76400,4.775
98,322,27,M,train-clean-100,20.14,Sean McKinley,LibriSpeech/train-clean-100/27/124992/27-124992-0049.flac,74480,4.655
99,323,27,M,train-clean-100,20.14,Sean McKinley,LibriSpeech/train-clean-100/27/124992/27-124992-0059.flac,143200,8.95
100,324,27,M,train-clean-100,20.14,Sean McKinley,LibriSpeech/train-clean-100/27/124992/27-124992-0030.flac,160080,10.005
101,325,27,M,train-clean-100,20.14,Sean McKinley,LibriSpeech/train-clean-100/27/124992/27-124992-0041.flac,225840,14.115
102,326,27,M,train-clean-100,20.14,Sean McKinley,LibriSpeech/train-clean-100/27/124992/27-124992-0019.flac,64400,4.025
103,327,27,M,train-clean-100,20.14,Sean McKinley,LibriSpeech/train-clean-100/27/124992/27-124992-0005.flac,60800,3.8
104,328,27,M,train-clean-100,20.14,Sean McKinley,LibriSpeech/train-clean-100/27/124992/27-124992-0050.flac,132880,8.305
