,level_0,index,speaker_id,sex,subset,speaker_minutes,name,filepath,length,seconds,id
0,0,109,26,M,train-clean-100,25.08,Denny Sayers,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/26/495/26-495-0060.flac,242160,15.135,109
1,1,110,26,M,train-clean-100,25.08,Denny Sayers,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/26/495/26-495-0071.flac,223680,13.98,110
2,2,111,26,M,train-clean-100,25.08,Denny Sayers,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/26/495/26-495-0072.flac,204720,12.795,111
3,3,112,26,M,train-clean-100,25.08,Denny Sayers,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/26/495/26-495-0070.flac,240560,15.035,112
4,4,113,26,M,train-clean-100,25.08,Denny Sayers,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/26/495/26-495-0009.flac,217600,13.6,113
5,5,114,26,M,train-clean-100,25.08,Denny Sayers,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/26/495/26-495-0065.flac,251440,15.715,114
6,6,115,26,M,train-clean-100,25.08,Denny Sayers,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/26/495/26-495-0090.flac,236400,14.775,115
7,7,116,26,M,train-clean-100,25.08,Denny Sayers,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/26/495/26-495-0030.flac,55840,3.49,116
8,8,117,26,M,train-clean-100,25.08,Denny Sayers,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/26/495/26-495-0073.flac,221120,13.82,117
9,9,118,26,M,train-clean-100,25.08,Denny Sayers,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/26/495/26-495-0007.flac,65680,4.105,118
10,10,119,26,M,train-clean-100,25.08,Denny Sayers,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/26/495/26-495-0023.flac,267360,16.71,119
11,11,120,26,M,train-clean-100,25.08,Denny Sayers,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/26/495/26-495-0026.flac,244320,15.27,120
12,12,121,26,M,train-clean-100,25.08,Denny Sayers,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/26/495/26-495-0001.flac,216000,13.5,121
13,13,122,26,M,train-clean-100,25.08,Denny Sayers,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/26/495/26-495-0005.flac,259120,16.195,122
14,14,123,26,M,train-clean-100,25.08,Denny Sayers,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/26/495/26-495-0052.flac,237840,14.865,123
15,15,124,26,M,train-clean-100,25.08,Denny Sayers,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/26/495/26-495-0031.flac,87840,5.49,124
16,16,125,26,M,train-clean-100,25.08,Denny Sayers,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/26/495/26-495-0038.flac,214080,13.38,125
17,17,126,26,M,train-clean-100,25.08,Denny Sayers,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/26/495/26-495-0050.flac,241840,15.115,126
18,18,127,26,M,train-clean-100,25.08,Denny Sayers,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/26/495/26-495-0074.flac,171040,10.69,127
19,19,128,26,M,train-clean-100,25.08,Denny Sayers,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/26/495/26-495-0054.flac,225120,14.07,128
20,20,129,26,M,train-clean-100,25.08,Denny Sayers,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/26/495/26-495-0075.flac,250480,15.655,129
21,21,130,26,M,train-clean-100,25.08,Denny Sayers,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/26/495/26-495-0032.flac,217360,13.585,130
22,22,131,26,M,train-clean-100,25.08,Denny Sayers,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/26/495/26-495-0059.flac,226400,14.15,131
23,23,132,26,M,train-clean-100,25.08,Denny Sayers,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/26/495/26-495-0011.flac,259760,16.235,132
24,24,133,26,M,train-clean-100,25.08,Denny Sayers,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/26/495/26-495-0067.flac,232400,14.525,133
25,25,134,26,M,train-clean-100,25.08,Denny Sayers,/fs4/home/mlomnitz/cyphercat/Datasets/LibriSpeech/train-clean-100/26/495/26-495-0021.flac,238880,14.93,134
