idx_in_original_df,index,speaker_id,sex,subset,speaker_minutes,name,filepath,length,seconds
0,109,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/495/26-495-0060.flac,242160,15.135
1,110,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/495/26-495-0071.flac,223680,13.98
2,111,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/495/26-495-0072.flac,204720,12.795
3,112,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/495/26-495-0070.flac,240560,15.035
4,113,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/495/26-495-0009.flac,217600,13.6
5,114,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/495/26-495-0065.flac,251440,15.715
6,115,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/495/26-495-0090.flac,236400,14.775
7,116,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/495/26-495-0030.flac,55840,3.49
8,117,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/495/26-495-0073.flac,221120,13.82
9,118,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/495/26-495-0007.flac,65680,4.105
10,119,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/495/26-495-0023.flac,267360,16.71
11,120,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/495/26-495-0026.flac,244320,15.27
12,121,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/495/26-495-0001.flac,216000,13.5
13,122,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/495/26-495-0005.flac,259120,16.195
14,123,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/495/26-495-0052.flac,237840,14.865
15,124,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/495/26-495-0031.flac,87840,5.49
16,125,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/495/26-495-0038.flac,214080,13.38
17,126,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/495/26-495-0050.flac,241840,15.115
18,127,26,M,train-clean-100,25.08,Denny Sayers,LibriSpeech/train-clean-100/26/495/26-495-0074.flac,171040,10.69
