index,speaker_id,sex,subset,speaker_minutes,name,filepath,length,seconds
21840,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0001.flac,223760,13.985
21841,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0044.flac,134560,8.41
21842,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0006.flac,248240,15.515
21843,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0005.flac,246000,15.375
21844,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0048.flac,238720,14.92
21845,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0027.flac,242480,15.155
21846,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0010.flac,247920,15.495
21847,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0011.flac,239520,14.97
21848,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0020.flac,255440,15.965
21849,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0028.flac,233360,14.585
21850,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0022.flac,242880,15.18
21851,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0014.flac,188880,11.805
21852,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0046.flac,206480,12.905
21853,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0031.flac,221761,13.8600625
21854,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0047.flac,250080,15.63
21855,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0030.flac,205040,12.815
21856,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0036.flac,249920,15.62
21857,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0004.flac,189280,11.83
21858,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0002.flac,249440,15.59
21859,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0021.flac,232640,14.54
21860,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0017.flac,225920,14.12
21861,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0038.flac,233760,14.61
21862,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0018.flac,208960,13.06
21863,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0015.flac,223200,13.95
21864,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0049.flac,201840,12.615
21865,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0039.flac,248400,15.525
21866,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0013.flac,240720,15.045
21867,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0019.flac,230560,14.41
21868,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0016.flac,192240,12.015
21869,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0029.flac,219760,13.735
21870,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0007.flac,231600,14.475
21871,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0008.flac,251520,15.72
21872,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0032.flac,258000,16.125
21873,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0003.flac,254400,15.9
21874,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0043.flac,143760,8.985
21875,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0040.flac,104240,6.515
21876,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0025.flac,245120,15.32
21877,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0012.flac,242400,15.15
21878,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0024.flac,211840,13.24
21879,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0033.flac,249680,15.605
21880,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0037.flac,243840,15.24
21881,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0045.flac,113600,7.1
21882,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0009.flac,219520,13.72
21883,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0035.flac,237520,14.845
21884,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0041.flac,231280,14.455
21885,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0042.flac,246480,15.405
21886,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0034.flac,247760,15.485
21887,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0026.flac,227840,14.24
21888,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0000.flac,263680,16.48
21889,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62556/6529-62556-0023.flac,248160,15.51
21890,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62554/6529-62554-0009.flac,247840,15.49
21891,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62554/6529-62554-0019.flac,249680,15.605
21892,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62554/6529-62554-0030.flac,108080,6.755
21893,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62554/6529-62554-0034.flac,207200,12.95
21894,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62554/6529-62554-0021.flac,249040,15.565
21895,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62554/6529-62554-0012.flac,174000,10.875
21896,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62554/6529-62554-0038.flac,252320,15.77
21897,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62554/6529-62554-0036.flac,235440,14.715
21898,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62554/6529-62554-0004.flac,175120,10.945
21899,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62554/6529-62554-0044.flac,224080,14.005
21900,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62554/6529-62554-0022.flac,249840,15.615
21901,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62554/6529-62554-0050.flac,221040,13.815
21902,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62554/6529-62554-0042.flac,163440,10.215
21903,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62554/6529-62554-0000.flac,230480,14.405
21904,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62554/6529-62554-0024.flac,250640,15.665
21905,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62554/6529-62554-0041.flac,201760,12.61
21906,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62554/6529-62554-0002.flac,228320,14.27
21907,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62554/6529-62554-0035.flac,240960,15.06
21908,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62554/6529-62554-0011.flac,249280,15.58
21909,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62554/6529-62554-0020.flac,221200,13.825
21910,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62554/6529-62554-0056.flac,193360,12.085
21911,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62554/6529-62554-0055.flac,216800,13.55
21912,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62554/6529-62554-0052.flac,209920,13.12
21913,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62554/6529-62554-0028.flac,227359,14.2099375
21914,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62554/6529-62554-0049.flac,249920,15.62
21915,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62554/6529-62554-0013.flac,261760,16.36
21916,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62554/6529-62554-0001.flac,183360,11.46
21917,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62554/6529-62554-0031.flac,247760,15.485
21918,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62554/6529-62554-0007.flac,268640,16.79
21919,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62554/6529-62554-0047.flac,225120,14.07
21920,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62554/6529-62554-0005.flac,222800,13.925
21921,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62554/6529-62554-0054.flac,252960,15.81
21922,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62554/6529-62554-0025.flac,251520,15.72
21923,6529,M,train-clean-100,25.04,Fred DeBerardinis,LibriSpeech/train-clean-100/6529/62554/6529-62554-0008.flac,244800,15.3
